iter	Accuracy	Logloss
840	0.874460742	0.300584725
841	0.874460742	0.3004766303
842	0.874460742	0.3003085376
843	0.8747483463	0.3001663706
844	0.8746045441	0.3000735826
845	0.8747483463	0.3000328854
846	0.8747483463	0.300014714
847	0.8748921484	0.29989599
848	0.8748921484	0.2997867628
849	0.8747483463	0.2996325191
850	0.8750359505	0.2995622753
851	0.8750359505	0.2994684955
852	0.8751797527	0.2993308658
853	0.8751797527	0.2993132876
854	0.8750359505	0.2992226495
855	0.8751797527	0.2991299982
856	0.8751797527	0.2990795935
857	0.8750359505	0.299033201
858	0.8754673569	0.2989492442
859	0.8754673569	0.2988309647
860	0.875611159	0.2987896418
861	0.8753235548	0.2986394448
862	0.8753235548	0.2985697933
863	0.8753235548	0.2984657776
864	0.8753235548	0.2983404891
865	0.8753235548	0.2983337249
866	0.875611159	0.298202742
867	0.8763301697	0.2980992015
868	0.8764739718	0.2980124231
869	0.8761863676	0.297894374
870	0.8761863676	0.2978876196
871	0.8761863676	0.2978480089
872	0.8758987633	0.297821171
873	0.8761863676	0.2977254364
874	0.8763301697	0.2976788447
875	0.8760425654	0.2976155672
876	0.8760425654	0.297581026
877	0.8760425654	0.2974962486
878	0.8763301697	0.2974092781
879	0.8763301697	0.2973263507
880	0.8764739718	0.2971818404
881	0.8763301697	0.2970426598
